#,Hasło,Uwaga
108,Głąbiński Stanisław 1862-1941,Poseł na Sejm Ust. 1919-22 oraz I kadencji 1922-27.
109,Godek Jan 1865-po 1930,Poseł na Sejm Ust. 1919-22.
110,Góralski Ignacy 1887-po 1922,Poseł na Sejm Ust. 1919-22.
111,Górny Franciszek 1889-1930,Poseł na Sejm Ust. 1919-22.
112,Górski Walerian 1879-1939,Poseł na Sejm Ust. 1919-22.
113,Grabski Stanisław 1871-1949,Poseł na Sejm Ust. 1919-22 oraz I kadencji 1922-27.
114,Grabski Władysław 1867-1927,Poseł na Sejm Ust. 1919-22.
115,Grabski Władysław 1874-1938,Poseł na Sejm Ust. 1919-22.
116,Gradowski Józef 1878-1968,Poseł na Sejm Ust. 1919-22.
117,Grünbaum Izaak 1879-1970,"Poseł na Sejm Ust. 1919-22 oraz I, II i III kadencji 1922-35."
118,Grzesiński Antoni 1864-1944,Poseł na Sejm Ust. 1919-22 (zrzekł się mandatu 1.10.1919).
119,Grzędzielski Władysław Leon 1864-1925,Poseł na Sejm Ust. 1919-22.
120,Gumowski Stanisław 1873-1935,Poseł na Sejm Ust. 1919-22.
121,Halban Alfred 1865-1926,Poseł na Sejm Ust. 1919-22.
122,Halpern Moszek Ela 1872-1921,Poseł na Sejm Ust. 1919-22 (zmarł w 1921).
123,Hałko Stanisław 1884-1943,Poseł na Sejm Ust. 1919-22.
124,Harasz Antoni 1879-1942,Poseł na Sejm Ust. 1919-22 (sekretarz) oraz I kadencji 1922-27 (sekretarz).
125,Hartglas Maksymilian Apolinary 1883-1953,Poseł na Sejm Ust. 1919-22 oraz I i II kadencji 1922-30.
126,Hasbach Erwin 1876-1970,Poseł na Sejm Ust. 1919-22 (od 8.06.1920).
127,Hausner Artur Walenty 1870-1941,Poseł na Sejm Ust. 1919-22 oraz I i II kadencji 1922-30.
128,Heicke Gustav Carl 1876-1962,Poseł na Sejm Ust. 1919-22 (od 8.06.1920).
129,Hellich Stanisław Grzegorz 1879-1944,Poseł na Sejm Ust. 1919-22 (od listopada 1919).
130,Herz Władysław 1885-1943,Poseł na Sejm Ust. 1919-22 oraz I kadencji 1922-27.
131,Hirszhorn Samuel 1876-1942,Poseł na Sejm Ust. 1919-22.
132,Hryckiewicz Nikodem Henryk 1891-1977,Poseł na Sejm Ust. 1919-22 oraz I kadencji 1922-27.
133,Idziak Wojciech 1883-po 1940,Poseł na Sejm Ust. 1919-22.
134,Imiłkowski Ignacy 1871-1938,Poseł na Sejm Ust. 1919-22.
135,Jabłonowski Władysław 1865-1956,Poseł na Sejm Ust. 1919-22.
136,Jabłoński Wincenty Tadeusz 1863-1923,Poseł na Sejm Ust. 1919-22.
137,Jachiewicz Józef 1874-po 1922,Poseł na Sejm Ust. 1919-22 (zrzekł się mandatu).
138,Jachowicz Józef 1862-1941,Poseł na Sejm Ust. 1919-22.
139,Jakubowski Jan 1886-po 1930,Poseł na Sejm Ust. 1919-22.
140,Jakubowski Tomasz 1859-1931,Poseł na Sejm Ust. 1919-22.
141,Janeczek Michał 1872-1961,Poseł na Sejm Ust. 1919-22 oraz I kadencji 1922-27.
142,Jasiukowicz Stanisław 1882-1946,Poseł na Sejm Ust. (od 9 XII 1920 na miejsce Teofila Wojdy) 1919-1922; poseł I (ślubowanie 12
143,Jęczmyk Franciszek 1864-1931,Poseł na Sejm Ust. 1919-22 (wszedł w trakcie kadencji od lipca lub sierpnia 1919).
144,Jóźwik Józef 1885-1967,Poseł na Sejm Ust. 1919-22.
145,Junga Karol 1887-1943,Poseł na Sejm Ust. 1919-22 (od 20.03.1919).
146,Jurkiewicz Michał 1876-1960,Poseł na Sejm Ust. 1919-22.
147,Kaczmarek Stefan 1884-1939,Poseł na Sejm Ustawodawczy
148,Kaczyński Zygmunt 1894-1953,Poseł na Sejm Ust. oraz I kadencji 1922-27
149,Kamieniecki Witold Franciszek 1883-1964,Poseł na Sejm Ust. w 1930
150,Kamiński Ignacy 1883-1974,Poseł na Sejm Ust.
151,Kantor Jerzy 1872-1954,Poseł na Sejm Ust. (od 14 III 1919).
152,Karkowski Tomasz 1888-1967,Poseł na Sejm Ust. (złożył mandat 7 X 1919).
153,Karlikowski Walenty 1893-1947,Poseł na Sejm Ust. oraz V kadencji 1938-39
154,Kasiński Jan 1871-?,Poseł na Sejm Ustawodawczy.
155,Kędzior Andrzej 1851-1938,Poseł na Sejm Ust.
156,Kielak Stanisław 1885-1940,"Poseł na Sejm Ust. oraz II (ślubowanie 6 XI 1928), III i IV (wicemarszałek od 15 XII 1936) ka"
157,Kiernik Władysław 1879-1971,"Poseł na Sejm Ust. oraz I, II i III (mandat wygasł 11 XII 1933 po uprawomocnieniu wyroku sądo"
158,Klemensiewicz Zygmunt Gabryel 1874-1948,Poseł na Sejm Ust. W kadencji 1928-30 zca posła na liście państwowej nr 2 (PPS).
159,Kleski Jan 1860-1934,Poseł na Sejm Ust. W wyborach w 1922 kandydował bez powodzenia do Sejmu w okręgu wyb. nr 53 (
160,Kłos Józef Albin 1870-1938,Poseł na Sejm Ustawodawczy
161,Kłyszejko Antoni ok. 1864-?,Poseł na Sejm Ust. (od 24 III 1922)
162,Knast Bolesław 1879-1939,Poseł na Sejm Ustawodawczy.
163,Koczur Feliks 1882-1962,Poseł na Sejm Ust.; uzyskał mandat z listy nr 8 w okręgu wyb. nr 38 (Wadowice); czł. klubów
164,Kolischer Henryk 1853-1932,Poseł na Sejm Ust.
165,Korfanty Wojciech 1873-1939,Poseł na Sejm Ust. oraz I i II kadencji 1922-30
166,Kosmowska Irena 1879-1945,Posłanka na Sejm Ust. oraz I i II kadencji 1922-30;
167,Kotas Józef 1875-1950,Sejm Ust.;
168,Kotnis Józef 1885-1944,Poseł na Sejm Ust.;
169,Kotula Kazimierz 1880-1962,Poseł na Sejm Ust.;
170,Kowalczuk Józef 1885-1980,Poseł na Sejm Ust. oraz I kadencji 1922-27;
171,Kowalewski Konstanty 1873-1933,Poseł na Sejm Ust. oraz I kadencji 1922-27;
172,Kozłowski Jan 1881-?,Poseł na Sejm Ust.;
173,Kozyrski Stanisław Jan nazwisko rodowe Kozera 1876-1948,Poseł na Sejm Ust.
